Date,Time,USD_INR_Rate,GBP_INR_Rate,EUR_INR_Rate,AED_INR_Rate,Financial_Year
2019-04-02,1:30:00 PM,69.1198,90.2119,77.4478,,FY2019-20
2019-04-03,1:30:00 PM,68.4896,90.0204,76.88,,FY2019-20
2019-04-04,1:30:00 PM,68.8446,90.7675,77.3878,,FY2019-20
2019-04-05,1:30:00 PM,69.1965,90.6354,77.7317,,FY2019-20
2019-04-08,1:30:00 PM,69.5142,90.7804,78.0403,,FY2019-20
2019-04-09,1:30:00 PM,69.5397,90.9538,78.3124,,FY2019-20
2019-04-10,1:30:00 PM,69.1482,90.3799,77.912,,FY2019-20
2019-04-11,1:30:00 PM,68.9742,90.2762,77.7942,,FY2019-20
2019-04-12,1:30:00 PM,69.324,90.5589,78.2335,,FY2019-20
2019-04-15,1:30:00 PM,69.2293,90.6193,78.3002,,FY2019-20
2019-04-16,1:30:00 PM,69.577,91.086,78.6489,,FY2019-20
2019-04-18,1:30:00 PM,69.4189,90.5519,78.4341,,FY2019-20
2019-04-22,1:30:00 PM,69.7423,90.6362,78.4076,,FY2019-20
2019-04-23,1:30:00 PM,69.7474,90.5428,78.4291,,FY2019-20
2019-04-24,1:30:00 PM,69.9045,90.346,78.3322,,FY2019-20
2019-04-25,1:30:00 PM,69.9418,90.259,78.0527,,FY2019-20
2019-04-26,1:30:00 PM,70.1445,90.5322,78.1283,,FY2019-20
2019-04-30,1:30:00 PM,69.8368,90.3348,78.0771,,FY2019-20
2019-05-02,1:30:00 PM,69.5419,90.787,77.8841,,FY2019-20
2019-05-03,1:30:00 PM,69.2679,90.2404,77.339,,FY2019-20
2019-05-06,1:30:00 PM,69.3558,90.998,77.636,,FY2019-20
2019-05-07,1:30:00 PM,69.3095,90.9706,77.701,,FY2019-20
2019-05-08,1:30:00 PM,69.6009,90.9002,78.0124,,FY2019-20
2019-05-09,1:30:00 PM,69.8685,90.9879,78.2481,,FY2019-20
2019-05-10,1:30:00 PM,69.9212,90.9269,78.4884,,FY2019-20
2019-05-13,1:30:00 PM,70.2576,91.437,78.9227,,FY2019-20
2019-05-14,1:30:00 PM,70.4208,91.2137,79.1511,,FY2019-20
2019-05-15,1:30:00 PM,70.2087,90.6319,78.688,,FY2019-20
2019-05-16,1:30:00 PM,70.2469,90.1937,78.721,,FY2019-20
2019-05-17,1:30:00 PM,70.1666,89.7276,78.4336,,FY2019-20
2019-05-20,1:30:00 PM,69.5466,88.5426,77.5658,,FY2019-20
2019-05-21,1:30:00 PM,69.7291,88.622,77.7242,,FY2019-20
2019-05-22,1:30:00 PM,69.7655,88.5915,77.8123,,FY2019-20
2019-05-23,1:30:00 PM,69.6732,87.922,77.6526,,FY2019-20
2019-05-24,1:30:00 PM,69.6096,88.3021,77.9744,,FY2019-20
