Year_Month,Financial_Year,Trading_Days,USD_INR_Rate,GBP_INR_Rate,EUR_INR_Rate,AED_INR_Rate
2019-04,FY2019-20,18,69.4274,90.5274,78.0306,
2019-05,FY2019-20,22,69.7731,89.6546,78.0492,
2019-06,FY2019-20,19,69.4389,87.9945,78.4054,
2019-07,FY2019-20,23,68.8083,85.8747,77.2293,
2019-08,FY2019-20,20,71.1457,86.4887,79.1191,
2019-09,FY2019-20,19,71.3337,88.1391,78.5396,
2019-10,FY2019-20,19,71.0394,89.7397,78.4973,
2019-11,FY2019-20,20,71.4517,92.0928,78.998,
2019-12,FY2019-20,21,71.1926,93.3347,79.1004,
2020-01,FY2019-20,23,71.3138,93.2938,79.2199,
2020-02,FY2019-20,18,71.4885,92.7474,78.0698,
2020-03,FY2019-20,20,74.3507,92.0177,82.3378,
2020-04,FY2020-21,17,76.2365,94.6333,82.7489,
2020-05,FY2020-21,18,75.6599,93.0224,82.4752,
2020-06,FY2020-21,22,75.7268,94.8812,85.2511,
2020-07,FY2020-21,23,74.9934,94.9292,85.9289,
2020-08,FY2020-21,21,74.6719,98.0765,88.3365,
2020-09,FY2020-21,22,73.4817,95.3087,86.6641,
2020-10,FY2020-21,20,73.4581,95.4062,86.5146,
2020-11,FY2020-21,19,74.2198,97.8952,87.72,
2020-12,FY2020-21,22,73.5936,98.8917,89.5534,
2021-01,FY2020-21,20,73.1094,99.7296,89.0529,
2021-02,FY2020-21,19,72.7565,100.806,88.0341,
2021-03,FY2020-21,21,72.7928,100.8833,86.7225,
2021-04,FY2021-22,17,74.4722,103.1291,89.1994,
2021-05,FY2021-22,19,73.2677,103.0902,88.9244,
2021-06,FY2021-22,22,73.5583,103.2147,88.6642,
2021-07,FY2021-22,21,74.527,102.9714,88.1296,
2021-08,FY2021-22,20,74.1846,102.3972,87.3473,
2021-09,FY2021-22,21,73.5634,101.0523,86.6013,
2021-10,FY2021-22,19,74.9153,102.4805,86.8975,
2021-11,FY2021-22,19,74.4965,100.2397,84.9463,
2021-12,FY2021-22,23,75.3725,100.2905,85.1921,
2022-01,FY2021-22,20,74.4416,100.9567,84.3004,
2022-02,FY2021-22,19,75.0031,101.5163,84.9742,
2022-03,FY2021-22,21,76.2445,100.3905,83.9301,
2022-04,FY2022-23,18,76.1678,98.4685,82.2864,
2022-05,FY2022-23,20,77.3193,96.3058,81.8147,
2022-06,FY2022-23,22,78.0746,96.2423,82.5586,
2022-07,FY2022-23,21,79.6016,95.4947,81.1492,
2022-08,FY2022-23,19,79.555,95.4108,80.501,
2022-09,FY2022-23,22,80.2316,90.8547,79.459,
2022-10,FY2022-23,18,82.3401,92.8193,80.8815,
2022-11,FY2022-23,21,81.8105,96.086,83.4606,
2022-12,FY2022-23,22,82.4642,100.3912,87.2945,
2023-01,FY2022-23,21,81.8996,100.0794,88.2133,
2023-02,FY2022-23,20,82.6085,99.8972,88.5322,
2023-03,FY2022-23,20,82.2886,99.8087,88.04,
2023-04,FY2023-24,17,82.0208,101.9777,89.872,
2023-05,FY2023-24,21,82.3433,102.7272,89.4751,
2023-06,FY2023-24,21,82.2337,103.806,89.0688,
2023-07,FY2023-24,21,82.1519,105.8135,90.8398,
2023-08,FY2023-24,21,82.7854,105.2534,90.3695,
2023-09,FY2023-24,20,83.0475,103.0287,88.7431,
2023-10,FY2023-24,20,83.2353,101.2307,87.8361,
2023-11,FY2023-24,20,83.298,103.3649,89.9942,
2023-12,FY2023-24,20,83.2787,105.4188,90.8405,
2024-01,FY2023-24,21,83.121,105.6041,90.7675,
2024-02,FY2023-24,20,82.9636,104.7995,89.5511,
2024-03,FY2023-24,18,82.9976,105.5368,90.2684,
2024-04,FY2024-25,18,83.406,104.375,89.4364,
2024-05,FY2024-25,20,83.3929,105.2984,90.1018,
2024-06,FY2024-25,19,83.4709,106.1642,89.8949,
2024-07,FY2024-25,22,83.5947,107.3732,90.5941,
2024-08,FY2024-25,21,83.8963,108.5658,92.4101,
2024-09,FY2024-25,20,83.8082,110.7432,93.0684,
2024-10,FY2024-25,22,84.0295,109.6486,91.5743,
2024-11,FY2024-25,18,84.3644,107.5732,89.6349,
2024-12,FY2024-25,21,84.9862,107.4811,89.0267,
2025-01,FY2024-25,23,86.2657,106.6133,89.2996,
2025-02,FY2024-25,18,87.0548,108.9841,90.5784,
2025-03,FY2024-25,19,86.6377,111.7308,93.5058,
2025-04,FY2025-26,18,85.5612,112.695,96.2296,
2025-05,FY2025-26,20,85.1897,113.9189,96.1497,
2025-06,FY2025-26,21,85.9034,116.426,98.9201,
2025-07,FY2025-26,23,86.1146,116.3466,100.64,
2025-08,FY2025-26,19,87.5184,117.5731,101.7976,
2025-09,FY2025-26,21,88.3226,119.2773,103.6437,
2025-10,FY2025-26,20,88.4164,118.1072,102.954,
2025-11,FY2025-26,19,88.8256,116.72,102.7129,
2025-12,FY2025-26,22,90.0913,120.514,105.4631,
2026-01,FY2025-26,20,90.7991,122.7279,106.5785,24.7437
2026-02,FY2025-26,19,90.7308,123.3372,107.3557,24.7024
2026-03,FY2025-26,18,92.7608,123.8333,107.279,25.2543
