Reporting_Date,Total_Reserves_USD_Mn,Foreign_Currency_Assets_USD_Mn,Gold_USD_Mn,SDRs_USD_Mn,Reserve_Position_IMF_USD_Mn,Total_Reserves_INR_Bn,Foreign_Currency_Assets_INR_Bn,Gold_INR_Bn,SDRs_INR_Bn,Reserve_Position_IMF_INR_Bn,Source_Filename
2019-03-29,411905.0,384053.5,23408.4,1456.7,2986.4,28539.4,26565.5,1666.5,100.8,206.6,2T_050420193C6085F090D746618EF4A5C9DCA819D5 (1).XLSX
2019-04-26,418515.3,390421.4,23303.2,1449.7,3341.0,29333.9,27385.9,1611.9,101.7,234.4,2T_03052019BFC0D61734A74858A9A4724185B33138.XLSX
2019-05-03,418687.2,390869.7,23021.6,1451.3,3344.6,29014.7,27074.7,1607.8,100.5,231.7,2T_10052019AF67CCA4940F4777BB62DF17F194D61A.XLSX
2019-05-10,420055.3,392227.8,23021.6,1454.3,3351.6,29368.8,27425.0,1607.8,101.7,234.3,2T_1705201967EE3CA73F8947F486CEA766B0153AC7.XLSX
2019-05-17,417998.2,390197.4,23021.6,1444.5,3334.7,29322.0,27378.8,1607.8,101.4,234.0,2T_240520199CF8DBD953734C29AE3CAF704F553CEC.XLSX
2019-05-24,419992.1,392188.5,23021.6,1445.3,3336.7,29240.8,27300.1,1607.8,100.6,232.3,2T_31052019593376954D914860B8878C1AEE4B8B00.XLSX
2019-05-31,421867.8,394134.7,22958.7,1443.0,3331.4,29448.7,27512.9,1602.6,100.7,232.5,2T_070620194164C6AD169C45BD8B665A7C1BA1A2A9.XLSX
2019-06-07,423553.9,395800.7,22958.7,1449.1,3345.4,29364.5,27429.7,1602.6,100.4,231.8,2T_14062019360B7BEE0B8445569D78E552791207EC.XLSX
2019-06-14,422200.1,394447.2,22958.7,1449.0,3345.2,29375.7,27439.6,1602.6,100.8,232.7,2T_21062019DD1C3E67405040599550AE94D276F7E3.XLSX
2019-06-21,426416.0,398649.3,22958.7,1453.2,3354.8,29697.1,27759.7,1602.6,101.2,233.6,2T_280620192DECD8786FD444539B0688B96586A004.XLSX
2019-06-28,427678.8,399902.1,22958.7,1456.2,3361.8,29495.2,27560.5,1602.6,100.4,231.7,2T_05072019EB57443351DC45F2B457CC60C2A68374.XLSX
2019-07-05,429911.4,400808.9,24304.5,1451.5,3346.5,29471.3,27466.7,1675.0,99.5,230.1,2T_12072019BEE8D2D7B00047CEA44A058439A9AB50.XLSX
2019-07-19,430376.4,401091.3,24304.5,1447.0,3533.6,29635.5,27617.7,1675.0,99.6,243.2,2T_260720194D03EA7F55EF4C93B0DA55389D8357D7.XLSX
2019-07-26,429649.3,399357.3,25330.0,1444.2,3517.8,29620.2,27531.5,1746.2,99.6,242.9,2T_020820196CBAAF0324184CF888DBA759CC5036A0.XLSX
2019-08-02,428952.1,398724.3,25163.6,1434.7,3629.5,29811.2,27710.8,1748.8,99.7,251.9,2T_09082019C1255284CF5144E597B3B2FD392CDBE6.XLSX
2019-08-09,430572.1,398739.5,26754.7,1441.4,3636.5,30456.4,28205.5,1892.5,102.0,256.4,2T_1608201945C328DCBBFA4C5A9404B24FCBF57F63.XLSX
2019-08-16,430501.3,398327.1,27110.6,1438.0,3625.6,30599.1,28311.5,1926.9,102.2,258.5,2T_23082019AB57DEE4D48548A48C394F0707546B17.XLSX
2019-08-23,429050.8,397128.5,26867.4,1433.5,3621.4,30782.5,28492.3,1927.6,102.9,259.7,2T_300820194DE2D03F8A9E4152A03FDA344ABFCEE7.XLSX
2019-08-30,428604.0,396005.0,27550.0,1433.0,3617.0,30630.55,28299.79,1968.8,102.42,259.54,2T_06092019EB3838540A7D4F88ADEB069A1B4AFBD4.XLSX
2019-09-06,429608.0,397205.0,27351.0,1434.0,3619.0,30776.88,28455.2,1959.4,102.7,259.58,2T_1309201956C93E12048640E2AE165BC1D395DB94.XLSX
2019-09-13,428960.0,396795.0,27103.0,1432.0,3630.0,30453.61,28170.33,1924.14,101.67,257.48,2T_20092019749E43F138494B429D491D05909CA313.XLSX
2019-09-20,428572.0,396670.0,26843.0,1435.0,3623.0,30458.95,28192.16,1907.8,101.96,257.03,2T_2709201955A0D173E69F4F88BF6E231E805A616D.XLSX
2019-09-27,433594.0,401615.0,26945.0,1428.0,3606.0,30609.99,28351.58,1902.17,100.8,255.44,2T_04102019CBC2E650AD334004A98CC9AC6C39A066.XLSX
2019-10-04,437833.0,405611.0,27178.0,1429.0,3615.0,31058.17,28772.71,1927.88,101.36,256.22,2T_1110201987058CE8EC2B46EA9CA2C4B547ACB554.XLSX
2019-10-11,439712.0,407880.0,26778.0,1431.0,3623.0,31244.42,28982.65,1902.77,101.69,257.31,2T_18102019A33DA83329424741B7876F35B6D680D0.XLSX
2019-10-18,440751.0,408811.0,26861.0,1440.0,3640.0,31376.27,29102.48,1912.15,102.5,259.14,2_2510201931BD70E775D7444998C55D9278D80EBE.XLSX
