publication_date,filename,official_excel_url,official_pdf_url,status_in_raw_storage,raw_file_path
2020-01-03,2T_03012020834533B5B5EA49C99EE429E580990B98.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_03012020834533B5B5EA49C99EE429E580990B98.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_03012020834533B5B5EA49C99EE429E580990B98.PDF,Pending_Manual_or_Session_Download,
2020-01-10,2T_1001202054E99EA13719440694EB149BC035D121.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_1001202054E99EA13719440694EB149BC035D121.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_1001202054E99EA13719440694EB149BC035D121.PDF,Pending_Manual_or_Session_Download,
2020-01-17,2T_1701202081404F00D51F41DCA80E4084E962C6FF.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_1701202081404F00D51F41DCA80E4084E962C6FF.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_1701202081404F00D51F41DCA80E4084E962C6FF.PDF,Pending_Manual_or_Session_Download,
2020-01-24,2T_24012020CBABCB988BA443FCA7993B4D3A25CC41.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_24012020CBABCB988BA443FCA7993B4D3A25CC41.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_24012020CBABCB988BA443FCA7993B4D3A25CC41.PDF,Pending_Manual_or_Session_Download,
2020-01-31,2T_31012020916E0E05062D411DA3E8F4E14A668FCA.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_31012020916E0E05062D411DA3E8F4E14A668FCA.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_31012020916E0E05062D411DA3E8F4E14A668FCA.PDF,Pending_Manual_or_Session_Download,
2020-02-07,2T_070220209D61481E31BD464589D1CB2A140C1406.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_070220209D61481E31BD464589D1CB2A140C1406.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_070220209D61481E31BD464589D1CB2A140C1406.PDF,Pending_Manual_or_Session_Download,
2020-02-14,2T_1402202059B1384874E649F1AD9038D58E112F43.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_1402202059B1384874E649F1AD9038D58E112F43.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_1402202059B1384874E649F1AD9038D58E112F43.PDF,Pending_Manual_or_Session_Download,
2020-02-21,2T_21022020A21EDDF04E5C47EF8C8A81D303DC5B81.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_21022020A21EDDF04E5C47EF8C8A81D303DC5B81.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_21022020A21EDDF04E5C47EF8C8A81D303DC5B81.PDF,Pending_Manual_or_Session_Download,
2020-02-28,2T_280220201A8DA1DE7DED4D4A8C6458763FB0C3E7.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_280220201A8DA1DE7DED4D4A8C6458763FB0C3E7.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_280220201A8DA1DE7DED4D4A8C6458763FB0C3E7.PDF,Pending_Manual_or_Session_Download,
2020-03-06,2T_06032020FE9516FD7735413E80E73B2F4F805C36.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_06032020FE9516FD7735413E80E73B2F4F805C36.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_06032020FE9516FD7735413E80E73B2F4F805C36.PDF,Pending_Manual_or_Session_Download,
2020-03-13,2T_13032020D88C7CC80FC947B1B1DD779473747F41.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_13032020D88C7CC80FC947B1B1DD779473747F41.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_13032020D88C7CC80FC947B1B1DD779473747F41.PDF,Pending_Manual_or_Session_Download,
2020-03-20,2T_200320205F59F810BDFB454296BC5EAA16B8E368.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_200320205F59F810BDFB454296BC5EAA16B8E368.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_200320205F59F810BDFB454296BC5EAA16B8E368.PDF,Pending_Manual_or_Session_Download,
2020-03-27,2T_27032020FF079D0662074579BC5FC8D3F50B6B15.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_27032020FF079D0662074579BC5FC8D3F50B6B15.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_27032020FF079D0662074579BC5FC8D3F50B6B15.PDF,Pending_Manual_or_Session_Download,
2020-04-03,2T_030420207CDBDE2348764C768F29FC3A45371CB9.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_030420207CDBDE2348764C768F29FC3A45371CB9.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_030420207CDBDE2348764C768F29FC3A45371CB9.PDF,Pending_Manual_or_Session_Download,
2020-04-10,2T_10042020FAFF950982E3416E97C621D8ED420958.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_10042020FAFF950982E3416E97C621D8ED420958.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_10042020FAFF950982E3416E97C621D8ED420958.PDF,Pending_Manual_or_Session_Download,
2020-04-17,2T_17042020AFCAEB19970F43A99B890CC421C7BA5A.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_17042020AFCAEB19970F43A99B890CC421C7BA5A.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_17042020AFCAEB19970F43A99B890CC421C7BA5A.PDF,Pending_Manual_or_Session_Download,
2020-04-24,2T_240420206DDC759B84CE43FBB06696938037149F.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_240420206DDC759B84CE43FBB06696938037149F.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_240420206DDC759B84CE43FBB06696938037149F.PDF,Pending_Manual_or_Session_Download,
2020-05-01,2T_01052020A41B9AFED0104359AF36885B926F548D.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_01052020A41B9AFED0104359AF36885B926F548D.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_01052020A41B9AFED0104359AF36885B926F548D.PDF,Pending_Manual_or_Session_Download,
2020-05-08,2T_08052020B424960A91054CB886D2FC2642AA6031.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_08052020B424960A91054CB886D2FC2642AA6031.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_08052020B424960A91054CB886D2FC2642AA6031.PDF,Pending_Manual_or_Session_Download,
2020-05-15,2T_15052020673EB0D28D064E06BC08F77EFDEABCAF.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_15052020673EB0D28D064E06BC08F77EFDEABCAF.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_15052020673EB0D28D064E06BC08F77EFDEABCAF.PDF,Pending_Manual_or_Session_Download,
2020-05-22,2T_22052020F92613296441418BAD8C4AA2ED5760D9.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_22052020F92613296441418BAD8C4AA2ED5760D9.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_22052020F92613296441418BAD8C4AA2ED5760D9.PDF,Pending_Manual_or_Session_Download,
2020-05-29,2T_29052020DFBFC9E26E544C0695A97A71AF79B83D.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_29052020DFBFC9E26E544C0695A97A71AF79B83D.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_29052020DFBFC9E26E544C0695A97A71AF79B83D.PDF,Pending_Manual_or_Session_Download,
2020-06-05,2T_05062020F5B5D7186CB04BCDB96F403EEF036103.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_05062020F5B5D7186CB04BCDB96F403EEF036103.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_05062020F5B5D7186CB04BCDB96F403EEF036103.PDF,Pending_Manual_or_Session_Download,
2020-06-12,2T_120620205ADDFBF942A04114AFDF77E6275812FD.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_120620205ADDFBF942A04114AFDF77E6275812FD.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_120620205ADDFBF942A04114AFDF77E6275812FD.PDF,Pending_Manual_or_Session_Download,
2020-06-19,2T_19062020820B2BA068034489A0051250B8828AB5.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_19062020820B2BA068034489A0051250B8828AB5.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_19062020820B2BA068034489A0051250B8828AB5.PDF,Pending_Manual_or_Session_Download,
2020-06-26,2T_2606202095903150C631476CBBC61504F9263BE6.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_2606202095903150C631476CBBC61504F9263BE6.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_2606202095903150C631476CBBC61504F9263BE6.PDF,Pending_Manual_or_Session_Download,
2020-07-03,2T_03072020F85CA62625F84BDDB3A22D8FCA60D873.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_03072020F85CA62625F84BDDB3A22D8FCA60D873.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_03072020F85CA62625F84BDDB3A22D8FCA60D873.PDF,Pending_Manual_or_Session_Download,
2020-07-10,2T_1007202021442DB4F6764B3487729C348F79892C.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_1007202021442DB4F6764B3487729C348F79892C.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_1007202021442DB4F6764B3487729C348F79892C.PDF,Pending_Manual_or_Session_Download,
2020-07-17,2T_17072020B0EE44E2CC8542B0A360467E38A9C721.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_17072020B0EE44E2CC8542B0A360467E38A9C721.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_17072020B0EE44E2CC8542B0A360467E38A9C721.PDF,Pending_Manual_or_Session_Download,
2020-07-24,2T_240720203BE053D5684B43AD8E910CA9CFEB5987.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_240720203BE053D5684B43AD8E910CA9CFEB5987.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_240720203BE053D5684B43AD8E910CA9CFEB5987.PDF,Pending_Manual_or_Session_Download,
2020-07-31,2T_31072020CB0DD5B50FD64B4B89EFEE54D6273360.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_31072020CB0DD5B50FD64B4B89EFEE54D6273360.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_31072020CB0DD5B50FD64B4B89EFEE54D6273360.PDF,Pending_Manual_or_Session_Download,
2020-08-07,2T_070820208D19BEBE110F4E9CA714E937902FEF8D.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_070820208D19BEBE110F4E9CA714E937902FEF8D.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_070820208D19BEBE110F4E9CA714E937902FEF8D.PDF,Pending_Manual_or_Session_Download,
2020-08-14,2T_140820202C4ED03D7E934934991FC672A1D4106C.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_140820202C4ED03D7E934934991FC672A1D4106C.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_140820202C4ED03D7E934934991FC672A1D4106C.PDF,Pending_Manual_or_Session_Download,
2020-08-21,2T_21082020B297F515ADFE4793A7B8E772A9ACC6B7.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_21082020B297F515ADFE4793A7B8E772A9ACC6B7.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_21082020B297F515ADFE4793A7B8E772A9ACC6B7.PDF,Pending_Manual_or_Session_Download,
2020-08-28,2T_28082020265F7AC3700B4A31BEE46CB258B75915.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_28082020265F7AC3700B4A31BEE46CB258B75915.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_28082020265F7AC3700B4A31BEE46CB258B75915.PDF,Pending_Manual_or_Session_Download,
2020-09-04,2T_04092020BE193857120849ABAA1BA4FA5E8AC32A.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_04092020BE193857120849ABAA1BA4FA5E8AC32A.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_04092020BE193857120849ABAA1BA4FA5E8AC32A.PDF,Pending_Manual_or_Session_Download,
2020-09-11,02T_11092020CBC94B64A0224BEA8D3211492A324E02.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/02T_11092020CBC94B64A0224BEA8D3211492A324E02.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/02T_11092020CBC94B64A0224BEA8D3211492A324E02.PDF,Pending_Manual_or_Session_Download,
2020-09-18,2T_18092020036D0E959BEA4F0F81813AC74792EB78.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_18092020036D0E959BEA4F0F81813AC74792EB78.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_18092020036D0E959BEA4F0F81813AC74792EB78.PDF,Pending_Manual_or_Session_Download,
2020-09-25,2T_250920202057CA107DB14799A2F5101747383463.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_250920202057CA107DB14799A2F5101747383463.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_250920202057CA107DB14799A2F5101747383463.PDF,Pending_Manual_or_Session_Download,
2020-10-02,2T_021020207FDACFD5A740416C874014ED92BBEC66.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_021020207FDACFD5A740416C874014ED92BBEC66.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_021020207FDACFD5A740416C874014ED92BBEC66.PDF,Pending_Manual_or_Session_Download,
2020-10-09,2T_09102020D54F372DAB584315BFC73478E372B2C0.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_09102020D54F372DAB584315BFC73478E372B2C0.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_09102020D54F372DAB584315BFC73478E372B2C0.PDF,Pending_Manual_or_Session_Download,
2020-10-16,2T_16102020CBBD9B63BD6A4B208398717EF07043F3.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_16102020CBBD9B63BD6A4B208398717EF07043F3.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_16102020CBBD9B63BD6A4B208398717EF07043F3.PDF,Pending_Manual_or_Session_Download,
2020-10-23,2T_23102020CDC1EFC2B5104F3189EAC008C2B9DEE3.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_23102020CDC1EFC2B5104F3189EAC008C2B9DEE3.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_23102020CDC1EFC2B5104F3189EAC008C2B9DEE3.PDF,Pending_Manual_or_Session_Download,
2020-10-30,2T_30102020CB38CB4950964164B76E7258F79738D6.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_30102020CB38CB4950964164B76E7258F79738D6.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_30102020CB38CB4950964164B76E7258F79738D6.PDF,Pending_Manual_or_Session_Download,
2020-11-06,2T_0611202092BFF063B917454C98B4845CA01F354C.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_0611202092BFF063B917454C98B4845CA01F354C.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_0611202092BFF063B917454C98B4845CA01F354C.PDF,Pending_Manual_or_Session_Download,
2020-11-13,2T_1311202099F12A12AF1043C59302EAE8E4976A8F.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_1311202099F12A12AF1043C59302EAE8E4976A8F.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_1311202099F12A12AF1043C59302EAE8E4976A8F.PDF,Pending_Manual_or_Session_Download,
2020-11-20,2T_20112020D0219765BE4D481E876694352ED34E43.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_20112020D0219765BE4D481E876694352ED34E43.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_20112020D0219765BE4D481E876694352ED34E43.PDF,Pending_Manual_or_Session_Download,
2020-11-27,2T_271120206FEEC609FE544EB4B4D4726E8C0931C3.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_271120206FEEC609FE544EB4B4D4726E8C0931C3.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_271120206FEEC609FE544EB4B4D4726E8C0931C3.PDF,Pending_Manual_or_Session_Download,
2020-12-04,2T_04122020BF55AF9FC85C43909E8FD7A62A90F18A.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_04122020BF55AF9FC85C43909E8FD7A62A90F18A.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_04122020BF55AF9FC85C43909E8FD7A62A90F18A.PDF,Pending_Manual_or_Session_Download,
2020-12-11,2T_111220204D77802D112F4A9DAB9529CFCBD1DA39.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_111220204D77802D112F4A9DAB9529CFCBD1DA39.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_111220204D77802D112F4A9DAB9529CFCBD1DA39.PDF,Pending_Manual_or_Session_Download,
2020-12-18,2T_181220200F1AA62D58344B299E51E2CA4F52262F.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/DOCs/2T_181220200F1AA62D58344B299E51E2CA4F52262F.XLSX,https://rbidocs.rbi.org.in/rdocs/Wss/PDFs/2T_181220200F1AA62D58344B299E51E2CA4F52262F.PDF,Pending_Manual_or_Session_Download,
