Month_Year,WPI_Headline_Index,WPI_Fuel_and_Power_Index,WPI_Mineral_Oils_SubIndex,CPI_Combined_Headline,CPI_Fuel_and_Light_Index
2019-04,121.1,103.4,93.7,141.1,139.7
2019-05,121.6,103.5,93.8,142.0,139.9
2019-06,121.5,102.1,91.2,142.9,140.4
2019-07,121.3,100.4,88.5,144.2,140.2
2019-08,121.5,100.7,88.6,145.0,140.3
2019-09,121.3,100.7,88.7,145.8,140.6
2019-10,122.0,101.5,89.9,147.2,141.0
2019-11,122.3,102.1,91.0,148.6,141.5
2019-12,123.0,103.7,93.6,150.4,142.1
2020-01,123.4,104.7,95.2,150.2,144.1
2020-02,122.2,103.9,94.0,149.3,147.3
2020-03,120.4,99.6,86.8,148.6,148.5
2020-04,119.2,92.2,73.1,150.4,149.2
2020-05,117.5,89.3,68.2,151.0,150.0
2020-06,119.3,88.9,67.5,152.0,150.8
2020-07,121.0,91.1,71.3,153.9,151.4
2020-08,122.0,91.4,71.8,154.7,151.7
2020-09,122.9,91.0,71.1,156.4,152.0
2020-10,123.6,91.1,71.3,158.4,152.4
2020-11,125.1,91.3,71.6,158.9,152.8
2020-12,125.4,93.6,75.6,157.3,154.0
2021-01,125.9,97.4,82.2,156.3,156.8
2021-02,128.1,101.5,89.3,156.6,158.4
2021-03,129.9,104.2,94.0,156.8,160.8
2021-04,132.0,108.9,97.5,157.8,161.9
2021-05,132.9,110.5,99.8,160.4,163.6
2021-06,133.7,113.1,104.2,161.3,166.0
2021-07,135.0,115.5,108.4,162.5,169.1
2021-08,136.2,116.0,109.1,162.9,170.2
2021-09,137.4,116.7,110.3,163.2,170.9
2021-10,140.7,125.7,123.5,165.5,174.2
2021-11,143.7,131.7,133.8,166.7,176.4
2021-12,143.3,129.4,129.8,166.2,176.9
2022-01,143.8,133.0,136.0,165.7,177.3
2022-02,145.3,137.4,143.6,166.1,177.8
2022-03,148.9,145.4,157.4,167.7,180.8
2022-04,152.3,151.7,168.2,170.1,185.0
2022-05,154.1,154.9,173.8,171.7,188.5
2022-06,154.0,155.6,175.0,172.6,190.4
2022-07,153.8,154.0,172.3,173.4,192.8
2022-08,153.2,149.8,165.1,174.3,194.3
2022-09,152.1,147.2,160.7,175.3,194.9
2022-10,152.5,148.6,163.1,176.7,196.5
2022-11,152.5,151.7,168.4,176.5,197.8
2022-12,150.5,149.8,165.1,175.7,199.1
2023-01,150.7,151.3,167.7,176.5,200.4
2023-02,150.9,150.2,165.8,176.8,201.2
2023-03,151.0,148.9,163.6,177.2,201.5
2023-04,150.9,149.4,164.5,178.1,201.8
2023-05,149.6,146.4,159.3,179.0,202.1
2023-06,149.0,144.3,155.8,180.9,202.4
2023-07,152.1,147.2,160.7,186.3,203.1
2023-08,152.5,149.6,164.8,185.6,203.4
2023-09,151.8,153.1,170.8,183.5,194.7
2023-10,152.1,152.8,170.3,184.7,193.2
2023-11,152.9,152.7,170.1,185.7,193.6
2023-12,151.8,152.5,169.8,185.7,193.8
2024-01,151.2,153.2,171.0,185.5,194.1
2024-02,151.2,153.6,171.7,185.8,194.3
2024-03,151.8,154.2,172.7,185.6,190.8
2024-04,153.2,153.8,172.0,186.7,189.6
2024-05,154.3,153.1,170.8,187.6,189.9
2024-06,154.5,152.8,170.3,190.0,190.2
2024-07,155.0,153.6,171.7,192.5,190.6
2024-08,154.8,152.0,169.0,192.4,191.0
2024-09,154.2,149.6,164.8,193.6,191.4
2024-10,154.9,148.9,163.6,194.8,191.9
2024-11,155.4,150.2,165.8,195.3,192.3
2024-12,155.1,151.3,167.7,195.0,192.6
2025-01,155.6,152.5,169.8,194.6,193.0
2025-02,156.0,153.2,171.0,194.9,193.4
2025-03,156.4,153.8,172.0,195.2,193.8
2025-04,157.0,154.2,172.7,195.8,194.2
2025-05,157.5,154.6,173.4,196.4,194.6
2025-06,157.8,154.9,173.9,197.1,195.0
2025-07,158.2,155.3,174.6,198.0,195.5
2025-08,158.6,155.8,175.4,198.5,196.0
2025-09,158.4,155.1,174.2,198.8,196.4
2025-10,158.9,155.7,175.2,199.4,196.9
2025-11,159.3,156.2,176.1,199.9,197.3
2025-12,159.0,155.9,175.6,199.6,197.6
2026-01,159.4,156.4,176.4,200.1,198.0
2026-02,159.8,156.8,177.1,200.5,198.4
2026-03,160.2,157.3,178.0,201.0,198.9
