Month_Year,Financial_Year,Fiscal_Year_Quarter,Quarter,Trading_Days,USD_INR_Monthly_Avg,GBP_INR_Monthly_Avg,EUR_INR_Monthly_Avg,AED_INR_Monthly_Avg,WPI_Headline_Index,WPI_Fuel_and_Power_Index,WPI_Mineral_Oils_SubIndex,CPI_Combined_Headline,CPI_Fuel_and_Light_Index
2019-04,2019-20,2019-20 Q1,Q1,18,69.4274,90.5274,78.0306,,121.1,103.4,93.7,141.1,139.7
2019-05,2019-20,2019-20 Q1,Q1,22,69.7731,89.6546,78.0492,,121.6,103.5,93.8,142.0,139.9
2019-06,2019-20,2019-20 Q1,Q1,19,69.4389,87.9945,78.4054,,121.5,102.1,91.2,142.9,140.4
2019-07,2019-20,2019-20 Q2,Q2,23,68.8083,85.8747,77.2293,,121.3,100.4,88.5,144.2,140.2
2019-08,2019-20,2019-20 Q2,Q2,20,71.1457,86.4887,79.1191,,121.5,100.7,88.6,145.0,140.3
2019-09,2019-20,2019-20 Q2,Q2,19,71.3337,88.1391,78.5396,,121.3,100.7,88.7,145.8,140.6
2019-10,2019-20,2019-20 Q3,Q3,19,71.0394,89.7397,78.4973,,122.0,101.5,89.9,147.2,141.0
2019-11,2019-20,2019-20 Q3,Q3,20,71.4517,92.0928,78.998,,122.3,102.1,91.0,148.6,141.5
2019-12,2019-20,2019-20 Q3,Q3,21,71.1926,93.3347,79.1004,,123.0,103.7,93.6,150.4,142.1
2020-01,2019-20,2019-20 Q4,Q4,23,71.3138,93.2938,79.2199,,123.4,104.7,95.2,150.2,144.1
2020-02,2019-20,2019-20 Q4,Q4,18,71.4885,92.7474,78.0698,,122.2,103.9,94.0,149.3,147.3
2020-03,2019-20,2019-20 Q4,Q4,20,74.3507,92.0177,82.3378,,120.4,99.6,86.8,148.6,148.5
2020-04,2020-21,2020-21 Q1,Q1,17,76.2365,94.6333,82.7489,,119.2,92.2,73.1,150.4,149.2
2020-05,2020-21,2020-21 Q1,Q1,18,75.6599,93.0224,82.4752,,117.5,89.3,68.2,151.0,150.0
2020-06,2020-21,2020-21 Q1,Q1,22,75.7268,94.8812,85.2511,,119.3,88.9,67.5,152.0,150.8
2020-07,2020-21,2020-21 Q2,Q2,23,74.9934,94.9292,85.9289,,121.0,91.1,71.3,153.9,151.4
2020-08,2020-21,2020-21 Q2,Q2,21,74.6719,98.0765,88.3365,,122.0,91.4,71.8,154.7,151.7
2020-09,2020-21,2020-21 Q2,Q2,22,73.4817,95.3087,86.6641,,122.9,91.0,71.1,156.4,152.0
2020-10,2020-21,2020-21 Q3,Q3,20,73.4581,95.4062,86.5146,,123.6,91.1,71.3,158.4,152.4
2020-11,2020-21,2020-21 Q3,Q3,19,74.2198,97.8952,87.72,,125.1,91.3,71.6,158.9,152.8
2020-12,2020-21,2020-21 Q3,Q3,22,73.5936,98.8917,89.5534,,125.4,93.6,75.6,157.3,154.0
2021-01,2020-21,2020-21 Q4,Q4,20,73.1094,99.7296,89.0529,,125.9,97.4,82.2,156.3,156.8
2021-02,2020-21,2020-21 Q4,Q4,19,72.7565,100.806,88.0341,,128.1,101.5,89.3,156.6,158.4
2021-03,2020-21,2020-21 Q4,Q4,21,72.7928,100.8833,86.7225,,129.9,104.2,94.0,156.8,160.8
2021-04,2021-22,2021-22 Q1,Q1,17,74.4722,103.1291,89.1994,,132.0,108.9,97.5,157.8,161.9
2021-05,2021-22,2021-22 Q1,Q1,19,73.2677,103.0902,88.9244,,132.9,110.5,99.8,160.4,163.6
2021-06,2021-22,2021-22 Q1,Q1,22,73.5583,103.2147,88.6642,,133.7,113.1,104.2,161.3,166.0
2021-07,2021-22,2021-22 Q2,Q2,21,74.527,102.9714,88.1296,,135.0,115.5,108.4,162.5,169.1
2021-08,2021-22,2021-22 Q2,Q2,20,74.1846,102.3972,87.3473,,136.2,116.0,109.1,162.9,170.2
2021-09,2021-22,2021-22 Q2,Q2,21,73.5634,101.0523,86.6013,,137.4,116.7,110.3,163.2,170.9
2021-10,2021-22,2021-22 Q3,Q3,19,74.9153,102.4805,86.8975,,140.7,125.7,123.5,165.5,174.2
2021-11,2021-22,2021-22 Q3,Q3,19,74.4965,100.2397,84.9463,,143.7,131.7,133.8,166.7,176.4
2021-12,2021-22,2021-22 Q3,Q3,23,75.3725,100.2905,85.1921,,143.3,129.4,129.8,166.2,176.9
2022-01,2021-22,2021-22 Q4,Q4,20,74.4416,100.9567,84.3004,,143.8,133.0,136.0,165.7,177.3
2022-02,2021-22,2021-22 Q4,Q4,19,75.0031,101.5163,84.9742,,145.3,137.4,143.6,166.1,177.8
2022-03,2021-22,2021-22 Q4,Q4,21,76.2445,100.3905,83.9301,,148.9,145.4,157.4,167.7,180.8
2022-04,2022-23,2022-23 Q1,Q1,18,76.1678,98.4685,82.2864,,152.3,151.7,168.2,170.1,185.0
2022-05,2022-23,2022-23 Q1,Q1,20,77.3193,96.3058,81.8147,,154.1,154.9,173.8,171.7,188.5
2022-06,2022-23,2022-23 Q1,Q1,22,78.0746,96.2423,82.5586,,154.0,155.6,175.0,172.6,190.4
2022-07,2022-23,2022-23 Q2,Q2,21,79.6016,95.4947,81.1492,,153.8,154.0,172.3,173.4,192.8
2022-08,2022-23,2022-23 Q2,Q2,19,79.555,95.4108,80.501,,153.2,149.8,165.1,174.3,194.3
2022-09,2022-23,2022-23 Q2,Q2,22,80.2316,90.8547,79.459,,152.1,147.2,160.7,175.3,194.9
2022-10,2022-23,2022-23 Q3,Q3,18,82.3401,92.8193,80.8815,,152.5,148.6,163.1,176.7,196.5
2022-11,2022-23,2022-23 Q3,Q3,21,81.8105,96.086,83.4606,,152.5,151.7,168.4,176.5,197.8
2022-12,2022-23,2022-23 Q3,Q3,22,82.4642,100.3912,87.2945,,150.5,149.8,165.1,175.7,199.1
2023-01,2022-23,2022-23 Q4,Q4,21,81.8996,100.0794,88.2133,,150.7,151.3,167.7,176.5,200.4
2023-02,2022-23,2022-23 Q4,Q4,20,82.6085,99.8972,88.5322,,150.9,150.2,165.8,176.8,201.2
2023-03,2022-23,2022-23 Q4,Q4,20,82.2886,99.8087,88.04,,151.0,148.9,163.6,177.2,201.5
2023-04,2023-24,2023-24 Q1,Q1,17,82.0208,101.9777,89.872,,150.9,149.4,164.5,178.1,201.8
2023-05,2023-24,2023-24 Q1,Q1,21,82.3433,102.7272,89.4751,,149.6,146.4,159.3,179.0,202.1
2023-06,2023-24,2023-24 Q1,Q1,21,82.2337,103.806,89.0688,,149.0,144.3,155.8,180.9,202.4
2023-07,2023-24,2023-24 Q2,Q2,21,82.1519,105.8135,90.8398,,152.1,147.2,160.7,186.3,203.1
2023-08,2023-24,2023-24 Q2,Q2,21,82.7854,105.2534,90.3695,,152.5,149.6,164.8,185.6,203.4
2023-09,2023-24,2023-24 Q2,Q2,20,83.0475,103.0287,88.7431,,151.8,153.1,170.8,183.5,194.7
2023-10,2023-24,2023-24 Q3,Q3,20,83.2353,101.2307,87.8361,,152.1,152.8,170.3,184.7,193.2
2023-11,2023-24,2023-24 Q3,Q3,20,83.298,103.3649,89.9942,,152.9,152.7,170.1,185.7,193.6
2023-12,2023-24,2023-24 Q3,Q3,20,83.2787,105.4188,90.8405,,151.8,152.5,169.8,185.7,193.8
2024-01,2023-24,2023-24 Q4,Q4,21,83.121,105.6041,90.7675,,151.2,153.2,171.0,185.5,194.1
2024-02,2023-24,2023-24 Q4,Q4,20,82.9636,104.7995,89.5511,,151.2,153.6,171.7,185.8,194.3
2024-03,2023-24,2023-24 Q4,Q4,18,82.9976,105.5368,90.2684,,151.8,154.2,172.7,185.6,190.8
2024-04,2024-25,2024-25 Q1,Q1,18,83.406,104.375,89.4364,,153.2,153.8,172.0,186.7,189.6
2024-05,2024-25,2024-25 Q1,Q1,20,83.3929,105.2984,90.1018,,154.3,153.1,170.8,187.6,189.9
2024-06,2024-25,2024-25 Q1,Q1,19,83.4709,106.1642,89.8949,,154.5,152.8,170.3,190.0,190.2
2024-07,2024-25,2024-25 Q2,Q2,22,83.5947,107.3732,90.5941,,155.0,153.6,171.7,192.5,190.6
2024-08,2024-25,2024-25 Q2,Q2,21,83.8963,108.5658,92.4101,,154.8,152.0,169.0,192.4,191.0
2024-09,2024-25,2024-25 Q2,Q2,20,83.8082,110.7432,93.0684,,154.2,149.6,164.8,193.6,191.4
2024-10,2024-25,2024-25 Q3,Q3,22,84.0295,109.6486,91.5743,,154.9,148.9,163.6,194.8,191.9
2024-11,2024-25,2024-25 Q3,Q3,18,84.3644,107.5732,89.6349,,155.4,150.2,165.8,195.3,192.3
2024-12,2024-25,2024-25 Q3,Q3,21,84.9862,107.4811,89.0267,,155.1,151.3,167.7,195.0,192.6
