Fiscal_Year_Quarter,Financial_Year,Quarter,Merchandise_Imports_Total_USD_Mn,POL_Imports_USD_Mn,Non_POL_Imports_USD_Mn,Merchandise_Trade_Balance_USD_Mn,Current_Account_Balance_USD_Mn,CAD_as_Pct_of_GDP,USD_INR_Quarterly_Avg,GBP_INR_Quarterly_Avg,EUR_INR_Quarterly_Avg,WPI_Headline_Quarterly_Avg,WPI_Fuel_and_Power_Quarterly_Avg,WPI_Mineral_Oils_Quarterly_Avg,CPI_Combined_Quarterly_Avg,CPI_Fuel_and_Light_Quarterly_Avg,Quarterly_Trading_Days
2019-20 Q1,2019-20,Q1,129200.0,34800.0,94400.0,-46200.0,-14300.0,-2.0,69.54646666666667,89.39216666666668,78.16173333333334,121.39999999999999,103.0,92.89999999999999,142.0,140.0,59
2019-20 Q2,2019-20,Q2,118400.0,31300.0,87100.0,-38100.0,-6300.0,-0.9,70.42923333333333,86.83416666666666,78.29599999999999,121.36666666666667,100.60000000000001,88.60000000000001,145.0,140.36666666666667,62
2019-20 Q3,2019-20,Q3,118900.0,32400.0,86500.0,-34600.0,-1400.0,-0.2,71.22789999999999,91.7224,78.86523333333334,122.43333333333334,102.43333333333334,91.5,148.73333333333332,141.53333333333333,60
2019-20 Q4,2019-20,Q4,111200.0,30800.0,80400.0,-35000.0,600.0,0.1,72.38433333333334,92.6863,79.87583333333333,122.0,102.73333333333333,92.0,149.36666666666667,146.63333333333333,61
2020-21 Q1,2020-21,Q1,51100.0,13100.0,38000.0,-10800.0,19800.0,3.9,75.8744,94.17896666666667,83.49173333333333,118.66666666666667,90.13333333333333,69.60000000000001,151.13333333333333,150.0,57
2020-21 Q2,2020-21,Q2,82400.0,18000.0,64400.0,-14800.0,15500.0,2.4,74.38233333333334,96.1048,86.9765,121.96666666666665,91.16666666666667,71.39999999999999,155.0,151.70000000000002,66
2020-21 Q3,2020-21,Q3,115200.0,25400.0,89800.0,-34500.0,-1700.0,-0.2,73.75716666666666,97.3977,87.92933333333333,124.7,92.0,72.83333333333333,158.20000000000002,153.0666666666667,61
2020-21 Q4,2020-21,Q4,131200.0,31400.0,99800.0,-41700.0,-8100.0,-1.0,72.88623333333334,100.47296666666666,87.93649999999998,127.96666666666665,101.03333333333335,88.5,156.5666666666667,158.66666666666666,60
2021-22 Q1,2021-22,Q1,126200.0,31000.0,95200.0,-30700.0,-6500.0,-0.9,73.76606666666667,103.14466666666665,88.92933333333333,132.86666666666667,110.83333333333333,100.5,159.83333333333334,163.83333333333334,58
2021-22 Q2,2021-22,Q2,148700.0,38800.0,109900.0,-44500.0,-9600.0,-1.3,74.09166666666667,102.14030000000001,87.3594,136.20000000000002,116.06666666666666,109.26666666666667,162.86666666666667,170.06666666666666,62
