HS Code,HS Description,Country Name,Financial_Year,INR_Cr,USD_Mn
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",ANGOLA,2019-20,19790.75769,2814.781078409
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",ANGOLA,2020-21,10305.1389994,1394.2535268339
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",ANGOLA,2021-22,11827.6513157,1602.4874221968
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",ANGOLA,2022-23,24726.7114125,3135.5525113876
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",ANGOLA,2023-24,20692.5061055,2506.219986
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",ANGOLA,2024-25,30286.1774202,3621.782917
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",ANGOLA,2025-26,29487.8757218,3387.784262
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",ANGOLA,2026-27,27493.4060981,2941.638215
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",CANADA,2019-20,2497.6592101,351.1105250583
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",CANADA,2020-21,1463.5364294,193.3438866142
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",CANADA,2021-22,2005.2321793,271.9707061939
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",CANADA,2022-23,884.7154192,118.8463984175
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",CANADA,2023-24,0.0,0.0
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",CANADA,2024-25,1837.514327,219.189839
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",CANADA,2025-26,417.3625548,46.32666
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",CANADA,2026-27,0.0,0.0
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",IRAQ,2019-20,153244.6084912,21760.6456228883
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",IRAQ,2020-21,109821.0507656,14940.2824166672
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",IRAQ,2021-22,185338.4149918,25019.7608847656
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",IRAQ,2022-23,279171.3294408,35643.9560934369
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",IRAQ,2023-24,233940.020582,28310.648479
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",IRAQ,2024-25,241823.7862527,28917.177725
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",IRAQ,2025-26,220602.1390453,25331.045176
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",IRAQ,2026-27,40890.437492,4475.855789
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",KUWAIT,2019-20,35441.4626003,5034.8378291893
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",KUWAIT,2020-21,24436.2792405,3330.0638339009
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",KUWAIT,2021-22,50575.1597171,6828.4677419784
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",KUWAIT,2022-23,66023.3913502,8400.9365960761
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",KUWAIT,2023-24,42579.4489598,5153.553774
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",KUWAIT,2024-25,30593.4931242,3660.649255
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",KUWAIT,2025-26,40515.8237343,4647.109115
