HS Code,HS Description,Country Name,Year,INR_Cr,USD_Mn
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",ALGERIA,2025-26,1605.3246475,186.417245
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",ANGOLA,2025-26,31860.9519614,3586.390219
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",ARGENTINA,2025-26,962.8546903,110.358495
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",BRAZIL,2025-26,20388.386669,2276.274864
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",BRUNEI,2025-26,1979.630603,227.193362
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",CAMEROON,2025-26,168.218046,19.746289
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",CANADA,2025-26,417.3625548,46.32666
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",COLOMBIA,2025-26,13921.7976659,1565.615565
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",CONGO D. REP.,2025-26,847.0931968,94.026082
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",CONGO P REP,2025-26,5213.2747812,587.999996
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",EGYPT A RP,2025-26,14866.6725605,1686.193578
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",GABON,2025-26,3808.734404,425.729077
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",GHANA,2025-26,1800.6446663,204.788983
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",GUYANA,2025-26,2491.1305996,274.460288
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",HUNGARY,2025-26,0.0002085,2.4e-05
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",IRAQ,2025-26,203096.1319581,23088.782858
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",ITALY,2025-26,0.0002356,2.5e-05
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",KOREA RP,2025-26,1744.1096839,202.787397
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",KUWAIT,2025-26,39620.7258292,4479.060254
2709,"PETROLEUM OILS AND OILS OBTAINED FROM     BITUMINOUS MINERALS, CRUDE",LIBYA,2025-26,4818.7922498,546.375945
