Month_Year,CPI_Combined_General,CPI_Fuel_and_Light,CPI_Base_Year,Source
2019-04,141.1,139.7,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2019-05,142.0,139.9,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2019-06,142.9,140.4,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2019-07,144.2,140.2,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2019-08,145.0,140.3,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2019-09,145.8,140.6,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2019-10,147.2,141.0,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2019-11,148.6,141.5,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2019-12,150.4,142.1,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2020-01,150.2,144.1,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2020-02,149.3,147.3,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2020-03,148.6,148.5,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2020-04,150.4,149.2,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2020-05,151.0,150.0,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2020-06,152.0,150.8,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2020-07,153.9,151.4,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2020-08,154.7,151.7,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2020-09,156.4,152.0,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2020-10,158.4,152.4,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2020-11,158.9,152.8,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2020-12,157.3,154.0,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2021-01,156.3,156.8,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2021-02,156.6,158.4,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2021-03,156.8,160.8,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2021-04,157.8,161.9,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2021-05,160.4,163.6,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2021-06,161.3,166.0,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2021-07,162.5,169.1,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2021-08,162.9,170.2,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2021-09,163.2,170.9,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2021-10,165.5,174.2,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2021-11,166.7,176.4,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2021-12,166.2,176.9,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2022-01,165.7,177.3,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2022-02,166.1,177.8,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2022-03,167.7,180.8,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2022-04,170.1,185.0,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2022-05,171.7,188.5,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2022-06,172.6,190.4,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2022-07,173.4,192.8,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2022-08,174.3,194.3,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2022-09,175.3,194.9,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2022-10,176.7,196.5,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2022-11,176.5,197.8,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
2022-12,175.7,199.1,2012=100,MoSPI/NSO All India CPI (mospi.gov.in / cpi.nic.in)
