Month_Year,WPI_All_Commodities,WPI_Fuel_and_Power,WPI_Mineral_Oils,WPI_Base_Year,Source
2019-04,121.1,103.4,93.7,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2019-05,121.6,103.5,93.8,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2019-06,121.5,102.1,91.2,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2019-07,121.3,100.4,88.5,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2019-08,121.5,100.7,88.6,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2019-09,121.3,100.7,88.7,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2019-10,122.0,101.5,89.9,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2019-11,122.3,102.1,91.0,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2019-12,123.0,103.7,93.6,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2020-01,123.4,104.7,95.2,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2020-02,122.2,103.9,94.0,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2020-03,120.4,99.6,86.8,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2020-04,119.2,92.2,73.1,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2020-05,117.5,89.3,68.2,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2020-06,119.3,88.9,67.5,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2020-07,121.0,91.1,71.3,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2020-08,122.0,91.4,71.8,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2020-09,122.9,91.0,71.1,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2020-10,123.6,91.1,71.3,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2020-11,125.1,91.3,71.6,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2020-12,125.4,93.6,75.6,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
2021-01,125.9,97.4,82.2,2011-12=100,OEA/DPIIT WPI Time Series (eaindustry.nic.in)
